Id V1 V2 V3
2720 392 70 756 
2721 392 756 209 
2722 416 756 70 
2723 416 209 756 
2724 393 28 757 
2725 393 757 210 
2726 324 757 28 
2727 324 210 757 
2728 324 27 758 
2729 324 758 210 
2730 578 758 27 
2731 578 210 758 
2732 393 104 759 
2733 393 759 211 
2734 103 759 104 
2735 103 211 759 
2736 315 760 23 
2737 315 211 760 
2738 373 23 760 
2739 373 760 211 
2740 393 761 104 
2741 393 210 761 
2742 162 104 761 
2743 162 761 210 
2744 315 28 762 
2745 315 762 211 
2746 393 762 28 
2747 393 211 762 
2748 104 763 103 
2749 104 375 763 
2750 374 103 763 
2751 374 763 375 
2752 104 162 764 
2753 104 764 375 
2754 577 764 162 
2755 577 375 764 
2756 397 765 110 
2757 397 212 765 
2758 394 110 765 
2759 394 765 212 
2760 398 766 110 
2761 398 143 766 
2762 397 110 766 
2763 397 766 143 
2764 397 71 767 
2765 397 767 212 
2766 394 768 58 
2767 394 212 768 
2768 402 113 769 
2769 402 769 213 
2770 400 769 113 
2771 400 213 769 
2772 400 42 770 
2773 400 770 213 
2774 410 770 42 
2775 410 213 770 
2776 402 771 12 
2777 402 213 771 
2778 412 12 771 
2779 412 771 213 
2780 401 772 113 
2781 401 214 772 
2782 400 113 772 
2783 400 772 214 
2784 400 773 42 
2785 400 214 773 
2786 550 42 773 
2787 550 773 214 
2788 401 21 774 
2789 401 774 214 
2790 542 774 21 
2791 542 214 774 
2792 403 114 775 
2793 403 775 202 
2794 404 775 114 
2795 404 202 775 
2796 405 114 776 
2797 405 776 194 
2798 403 776 114 
2799 403 194 776 
2800 407 116 777 
2801 407 777 215 
2802 408 777 116 
2803 408 215 777 
2804 408 10 778 
2805 408 778 215 
2806 498 778 10 
2807 498 215 778 
2808 407 779 67 
2809 407 215 779 
2810 533 67 779 
2811 533 779 215 
2812 407 67 780 
2813 407 780 216 
2814 413 780 67 
2815 413 216 780 
2816 407 781 116 
2817 407 216 781 
2818 409 116 781 
2819 409 781 216 
2820 409 782 55 
2821 409 216 782 
2822 415 55 782 
2823 415 782 216 
2824 412 117 783 
2825 412 783 142 
2826 411 783 117 
2827 411 142 783 
2828 412 784 117 
2829 412 213 784 
2830 410 117 784 
